CardID,CardNumber,CardTypeID,InitialAmount,ActivationDate,ExpiryDate,PurchasedByUserID,IsActive,IsBlocked
1044,LTGC1044,3,50,2025-04-04,2025-12-31,21,True,True
1045,LTGC1045,5,150,2025-04-12,2025-12-31,39,True,False
1046,LTGC1046,5,50,2025-05-03,2025-12-31,85,True,False
1047,LTGC1047,2,50,2025-01-25,2025-12-31,15,True,False
1048,LTGC1048,5,25,2025-05-02,2025-12-31,35,True,False
1049,LTGC1049,5,25,2025-04-13,2025-12-31,92,True,False
1050,LTGC1050,2,150,2025-05-24,2025-12-31,82,True,False
1051,LTGC1051,5,75,2025-03-14,2025-12-31,33,True,False
1052,LTGC1052,1,150,2025-06-03,2025-12-31,55,True,False
1053,LTGC1053,1,10,2025-01-18,2025-12-31,43,True,False
1054,LTGC1054,3,25,2025-03-31,2025-12-31,95,True,True
1055,LTGC1055,5,150,2025-03-04,2025-12-31,55,True,False
1056,LTGC1056,1,10,2025-01-14,2025-12-31,89,True,False
1057,LTGC1057,5,10,2025-06-07,2025-12-31,48,True,False
1058,LTGC1058,4,25,2025-02-25,2025-12-31,6,True,False
1059,LTGC1059,3,200,2025-05-06,2025-12-31,6,True,False
1060,LTGC1060,2,150,2025-01-28,2025-12-31,32,True,False
1061,LTGC1061,3,200,2025-01-22,2025-12-31,72,True,True
1062,LTGC1062,5,150,2025-04-06,2025-12-31,20,True,False
1063,LTGC1063,2,200,2025-03-21,2025-12-31,23,True,True
1064,LTGC1064,1,25,2025-05-30,2025-12-31,95,True,False
1065,LTGC1065,4,200,2025-01-26,2025-12-31,86,True,False
1066,LTGC1066,3,25,2025-04-29,2025-12-31,90,True,False
1067,LTGC1067,4,200,2025-01-25,2025-12-31,5,True,True
1068,LTGC1068,2,25,2025-01-27,2025-12-31,59,True,False
1069,LTGC1069,3,200,2025-04-15,2025-12-31,30,True,False
1070,LTGC1070,1,150,2025-01-20,2025-12-31,25,True,True
1071,LTGC1071,3,50,2025-03-10,2025-12-31,9,True,False
1072,LTGC1072,3,150,2025-04-03,2025-12-31,66,True,True
1073,LTGC1073,5,50,2025-02-17,2025-12-31,4,True,False
1074,LTGC1074,3,25,2025-06-12,2025-12-31,75,True,False
1075,LTGC1075,1,10,2025-02-09,2025-12-31,77,True,True
1076,LTGC1076,3,150,2025-06-11,2025-12-31,41,True,True
1077,LTGC1077,5,100,2025-05-18,2025-12-31,15,True,True
1078,LTGC1078,5,25,2025-06-04,2025-12-31,33,True,False
1079,LTGC1079,4,10,2025-05-19,2025-12-31,67,True,False
1080,LTGC1080,3,75,2025-04-05,2025-12-31,9,True,False
1081,LTGC1081,5,50,2025-03-27,2025-12-31,85,True,False
1082,LTGC1082,3,100,2025-03-29,2025-12-31,40,True,True
1083,LTGC1083,3,75,2025-04-11,2025-12-31,90,True,False
1084,LTGC1084,5,25,2025-03-28,2025-12-31,25,True,True
1085,LTGC1085,4,150,2025-03-27,2025-12-31,96,True,False
1086,LTGC1086,5,100,2025-01-29,2025-12-31,39,True,True
1087,LTGC1087,5,200,2025-05-26,2025-12-31,1,True,False
1088,LTGC1088,3,25,2025-05-22,2025-12-31,56,True,False
1089,LTGC1089,4,75,2025-04-28,2025-12-31,57,True,False
1090,LTGC1090,5,75,2025-02-08,2025-12-31,95,True,False
1091,LTGC1091,1,50,2025-05-20,2025-12-31,66,True,False
1092,LTGC1092,1,200,2025-03-22,2025-12-31,97,True,False
1093,LTGC1093,3,25,2025-02-06,2025-12-31,26,True,False
1094,LTGC1094,1,10,2025-02-17,2025-12-31,32,True,True
1095,LTGC1095,5,200,2025-04-28,2025-12-31,99,True,False
1096,LTGC1096,4,75,2025-03-31,2025-12-31,81,True,False
1097,LTGC1097,4,75,2025-04-26,2025-12-31,52,True,False
1098,LTGC1098,2,150,2025-02-07,2025-12-31,89,True,False
1099,LTGC1099,1,200,2025-06-04,2025-12-31,55,True,False
1100,LTGC1100,2,200,2025-02-26,2025-12-31,90,True,True
1101,LTGC1101,1,100,2025-01-14,2025-12-31,32,True,False
1102,LTGC1102,4,25,2025-06-09,2025-12-31,60,True,False
1103,LTGC1103,4,100,2025-01-18,2025-12-31,93,True,True
1104,LTGC1104,5,75,2025-03-12,2025-12-31,21,True,True
1105,LTGC1105,4,50,2025-04-13,2025-12-31,97,True,False
1106,LTGC1106,3,200,2025-05-24,2025-12-31,100,True,True
1107,LTGC1107,2,50,2025-06-02,2025-12-31,57,True,False
1108,LTGC1108,3,25,2025-04-29,2025-12-31,35,True,False
1109,LTGC1109,3,100,2025-04-06,2025-12-31,11,True,False
1110,LTGC1110,2,25,2025-04-27,2025-12-31,50,True,False
1111,LTGC1111,2,10,2025-03-28,2025-12-31,54,True,True
1112,LTGC1112,3,100,2025-02-27,2025-12-31,60,True,True
1113,LTGC1113,1,25,2025-03-03,2025-12-31,54,True,True
1114,LTGC1114,5,150,2025-04-13,2025-12-31,3,True,True
1115,LTGC1115,4,10,2025-03-22,2025-12-31,46,True,False
1116,LTGC1116,4,200,2025-02-13,2025-12-31,54,True,False
1117,LTGC1117,4,25,2025-03-08,2025-12-31,35,True,True
1118,LTGC1118,4,10,2025-02-19,2025-12-31,50,True,False
1119,LTGC1119,4,150,2025-06-03,2025-12-31,22,True,True
1120,LTGC1120,2,100,2025-06-11,2025-12-31,69,True,False
1121,LTGC1121,4,100,2025-02-04,2025-12-31,73,True,False
1122,LTGC1122,1,150,2025-01-20,2025-12-31,55,True,False
1123,LTGC1123,4,25,2025-05-22,2025-12-31,7,True,False
1124,LTGC1124,4,50,2025-04-05,2025-12-31,28,True,True
1125,LTGC1125,3,50,2025-05-13,2025-12-31,98,True,True
1126,LTGC1126,3,200,2025-06-11,2025-12-31,54,True,False
1127,LTGC1127,1,75,2025-01-17,2025-12-31,3,True,False
1128,LTGC1128,3,25,2025-03-01,2025-12-31,84,True,False
1129,LTGC1129,1,200,2025-02-23,2025-12-31,4,True,False
1130,LTGC1130,2,200,2025-01-27,2025-12-31,3,True,False
1131,LTGC1131,2,25,2025-02-02,2025-12-31,61,True,False
1132,LTGC1132,5,25,2025-05-09,2025-12-31,60,True,False
1133,LTGC1133,3,25,2025-01-20,2025-12-31,78,True,False
1134,LTGC1134,2,50,2025-04-10,2025-12-31,14,True,False
1135,LTGC1135,3,100,2025-05-10,2025-12-31,87,True,True
1136,LTGC1136,4,150,2025-05-24,2025-12-31,26,True,False
1137,LTGC1137,5,150,2025-05-30,2025-12-31,81,True,False
1138,LTGC1138,1,150,2025-01-23,2025-12-31,99,True,False
1139,LTGC1139,5,200,2025-03-02,2025-12-31,16,True,False
1140,LTGC1140,3,100,2025-06-06,2025-12-31,55,True,False
1141,LTGC1141,1,100,2025-01-22,2025-12-31,83,True,False
1142,LTGC1142,1,200,2025-04-02,2025-12-31,54,True,True
1143,LTGC1143,1,75,2025-04-09,2025-12-31,47,True,True
1144,LTGC1144,2,75,2025-02-28,2025-12-31,23,True,False
1145,LTGC1145,5,200,2025-04-28,2025-12-31,69,True,True
1146,LTGC1146,4,75,2025-02-25,2025-12-31,94,True,False
1147,LTGC1147,3,200,2025-06-09,2025-12-31,32,True,False
1148,LTGC1148,3,75,2025-06-13,2025-12-31,32,True,True
1149,LTGC1149,5,100,2025-01-24,2025-12-31,86,True,True
1150,LTGC1150,3,10,2025-02-10,2025-12-31,64,True,False
1151,LTGC1151,2,75,2025-04-21,2025-12-31,28,True,False
1152,LTGC1152,3,50,2025-03-11,2025-12-31,36,True,False
1153,LTGC1153,5,10,2025-02-28,2025-12-31,67,True,False
1154,LTGC1154,1,25,2025-06-05,2025-12-31,93,True,True
1155,LTGC1155,4,100,2025-05-05,2025-12-31,98,True,False
1156,LTGC1156,4,150,2025-03-16,2025-12-31,92,True,True
1157,LTGC1157,4,200,2025-05-06,2025-12-31,3,True,False
1158,LTGC1158,3,25,2025-05-10,2025-12-31,52,True,False
1159,LTGC1159,3,150,2025-06-13,2025-12-31,75,True,False
1160,LTGC1160,4,100,2025-05-24,2025-12-31,68,True,False
1161,LTGC1161,4,150,2025-03-17,2025-12-31,71,True,False
1162,LTGC1162,3,150,2025-03-01,2025-12-31,59,True,False
1163,LTGC1163,3,50,2025-03-13,2025-12-31,30,True,False
1164,LTGC1164,2,50,2025-02-10,2025-12-31,16,True,False
1165,LTGC1165,2,25,2025-05-22,2025-12-31,95,True,True
1166,LTGC1166,3,150,2025-04-25,2025-12-31,76,True,False
1167,LTGC1167,1,200,2025-02-25,2025-12-31,25,True,False
1168,LTGC1168,2,50,2025-04-04,2025-12-31,23,True,False
1169,LTGC1169,1,150,2025-03-13,2025-12-31,69,True,False
1170,LTGC1170,3,10,2025-03-08,2025-12-31,7,True,False
1171,LTGC1171,2,150,2025-01-25,2025-12-31,97,True,True
1172,LTGC1172,1,200,2025-05-02,2025-12-31,2,True,False
1173,LTGC1173,4,75,2025-05-08,2025-12-31,57,True,False
1174,LTGC1174,2,10,2025-06-05,2025-12-31,33,True,True
1175,LTGC1175,1,200,2025-02-17,2025-12-31,9,True,True
1176,LTGC1176,4,10,2025-05-15,2025-12-31,74,True,False
1177,LTGC1177,2,25,2025-05-25,2025-12-31,73,True,False
1178,LTGC1178,1,25,2025-04-06,2025-12-31,16,True,True
1179,LTGC1179,5,100,2025-05-01,2025-12-31,80,True,False
